date,release,asset,downloads
"2026-08-05","v1.5.0","FMSuperScout-Setup.exe","149"
"2026-08-05","v1.5.0","FMSuperScout-Setup.exe.sha256","44"
"2026-08-05","v1.5.0","version.json","59"
"2026-08-05","v1.4.2","FMSuperScout-Setup.exe","35"
"2026-08-05","v1.4.2","FMSuperScout-Setup.exe.sha256","17"
"2026-08-05","v1.4.1","FMSuperScout-Setup.exe","65"
"2026-08-05","v1.4.1","FMSuperScout-Setup.exe.sha256","34"
"2026-08-05","v1.4.0","FMSuperScout-Setup.exe","11"
"2026-08-05","v1.4.0","FMSuperScout-Setup.exe.sha256","12"
"2026-08-05","v1.3.1","FMSuperScout-Setup.exe","372"
"2026-08-05","v1.3.1","FMSuperScout-Setup.exe.sha256","102"
"2026-08-05","v1.3.0","FMSuperScout-Setup.exe","174"
"2026-08-05","v1.3.0","FMSuperScout-Setup.exe.sha256","13"
"2026-08-05","v1.2.0","FMSuperScout-Setup.exe","356"
"2026-08-05","v1.2.0","FMSuperScout-Setup.exe.sha256","5"
"2026-08-05","v1.1.1","FMSuperScout-Setup.exe","0"
"2026-08-05","v1.1.1","FMSuperScout-Setup.exe.sha256","0"
"2026-08-05","v1.1.0","FMSuperScout-Setup.exe","10"
"2026-08-05","v1.1.0","FMSuperScout-Setup.exe.sha256","0"
"2026-08-05","v1.0.0","FMSuperScout-Setup.exe","104"
"2026-08-05","v1.0.0","FMSuperScout-Setup.exe.sha256","0"
"2026-08-06","v1.5.0","FMSuperScout-Setup.exe","247"
"2026-08-06","v1.5.0","FMSuperScout-Setup.exe.sha256","83"
"2026-08-06","v1.5.0","version.json","156"
"2026-08-06","v1.4.2","FMSuperScout-Setup.exe","35"
"2026-08-06","v1.4.2","FMSuperScout-Setup.exe.sha256","17"
"2026-08-06","v1.4.1","FMSuperScout-Setup.exe","65"
"2026-08-06","v1.4.1","FMSuperScout-Setup.exe.sha256","34"
"2026-08-06","v1.4.0","FMSuperScout-Setup.exe","11"
"2026-08-06","v1.4.0","FMSuperScout-Setup.exe.sha256","12"
"2026-08-06","v1.3.1","FMSuperScout-Setup.exe","372"
"2026-08-06","v1.3.1","FMSuperScout-Setup.exe.sha256","102"
"2026-08-06","v1.3.0","FMSuperScout-Setup.exe","174"
"2026-08-06","v1.3.0","FMSuperScout-Setup.exe.sha256","13"
"2026-08-06","v1.2.0","FMSuperScout-Setup.exe","357"
"2026-08-06","v1.2.0","FMSuperScout-Setup.exe.sha256","5"
"2026-08-06","v1.1.1","FMSuperScout-Setup.exe","0"
"2026-08-06","v1.1.1","FMSuperScout-Setup.exe.sha256","0"
"2026-08-06","v1.1.0","FMSuperScout-Setup.exe","10"
"2026-08-06","v1.1.0","FMSuperScout-Setup.exe.sha256","0"
"2026-08-06","v1.0.0","FMSuperScout-Setup.exe","106"
"2026-08-06","v1.0.0","FMSuperScout-Setup.exe.sha256","0"
"2026-08-07","v1.5.0","FMSuperScout-Setup.exe","296"
"2026-08-07","v1.5.0","FMSuperScout-Setup.exe.sha256","108"
"2026-08-07","v1.5.0","version.json","237"
"2026-08-07","v1.4.2","FMSuperScout-Setup.exe","35"
"2026-08-07","v1.4.2","FMSuperScout-Setup.exe.sha256","17"
"2026-08-07","v1.4.1","FMSuperScout-Setup.exe","65"
"2026-08-07","v1.4.1","FMSuperScout-Setup.exe.sha256","34"
"2026-08-07","v1.4.0","FMSuperScout-Setup.exe","11"
"2026-08-07","v1.4.0","FMSuperScout-Setup.exe.sha256","12"
"2026-08-07","v1.3.1","FMSuperScout-Setup.exe","372"
"2026-08-07","v1.3.1","FMSuperScout-Setup.exe.sha256","102"
"2026-08-07","v1.3.0","FMSuperScout-Setup.exe","174"
"2026-08-07","v1.3.0","FMSuperScout-Setup.exe.sha256","13"
"2026-08-07","v1.2.0","FMSuperScout-Setup.exe","357"
"2026-08-07","v1.2.0","FMSuperScout-Setup.exe.sha256","5"
"2026-08-07","v1.1.1","FMSuperScout-Setup.exe","0"
"2026-08-07","v1.1.1","FMSuperScout-Setup.exe.sha256","0"
"2026-08-07","v1.1.0","FMSuperScout-Setup.exe","10"
"2026-08-07","v1.1.0","FMSuperScout-Setup.exe.sha256","0"
"2026-08-07","v1.0.0","FMSuperScout-Setup.exe","113"
"2026-08-07","v1.0.0","FMSuperScout-Setup.exe.sha256","0"
"2026-08-08","v1.5.0","FMSuperScout-Setup.exe","350"
"2026-08-08","v1.5.0","FMSuperScout-Setup.exe.sha256","122"
"2026-08-08","v1.5.0","version.json","334"
"2026-08-08","v1.4.2","FMSuperScout-Setup.exe","35"
"2026-08-08","v1.4.2","FMSuperScout-Setup.exe.sha256","17"
"2026-08-08","v1.4.1","FMSuperScout-Setup.exe","65"
"2026-08-08","v1.4.1","FMSuperScout-Setup.exe.sha256","34"
"2026-08-08","v1.4.0","FMSuperScout-Setup.exe","11"
"2026-08-08","v1.4.0","FMSuperScout-Setup.exe.sha256","12"
"2026-08-08","v1.3.1","FMSuperScout-Setup.exe","372"
"2026-08-08","v1.3.1","FMSuperScout-Setup.exe.sha256","102"
"2026-08-08","v1.3.0","FMSuperScout-Setup.exe","174"
"2026-08-08","v1.3.0","FMSuperScout-Setup.exe.sha256","13"
"2026-08-08","v1.2.0","FMSuperScout-Setup.exe","358"
"2026-08-08","v1.2.0","FMSuperScout-Setup.exe.sha256","5"
"2026-08-08","v1.1.1","FMSuperScout-Setup.exe","0"
"2026-08-08","v1.1.1","FMSuperScout-Setup.exe.sha256","0"
"2026-08-08","v1.1.0","FMSuperScout-Setup.exe","10"
"2026-08-08","v1.1.0","FMSuperScout-Setup.exe.sha256","0"
"2026-08-08","v1.0.0","FMSuperScout-Setup.exe","115"
"2026-08-08","v1.0.0","FMSuperScout-Setup.exe.sha256","0"
